"原表行号","关键词","平台id","平台","视频链接","日期","作品分类","作品子分类","待处理问题"
"6","洛洛哑女","2448878508","KOC快手","https://v.kuaishou.com/JpvDzq2t","2026-09-19T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"7","洛洛哑女","69039508939","KOC抖音","https://v.douyin.com/cogSIwGwqy0/","2026-09-19T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划"
"8","白白金陵","2879882282","KOC快手","https://v.kuaishou.com/KZkSuJ3y","2026-09-19T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"11","白白金陵","tao199999919","KOC抖音","https://v.douyin.com/rwNDYO6WcEQ/","2026-09-19T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"12","白白金陵","5540790027","KOC快手","https://v.kuaishou.com/KHDglceP","2026-09-19T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"14","白白金陵","风的颜色72","KOC视频号","https://weixin.qq.com/sph/AuRKybOLx2","2026-09-19T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"15","白白金陵","2037555563","KOC快手","https://www.kuaishou.com/f/X9iQ8QHCYN9OYi2","2026-09-19T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"16","白白金陵","27363868763","KOC抖音","https://v.douyin.com/HUiUs7e_OPo/","2026-09-19T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划"
"27","离离路过","Lfei199600","KOC抖音","https://v.douyin.com/Pu0sfmqtgEQ/","2026-09-19T16:00:00.000Z","视频","解压","未找到该关键词对应的可用计划"
"28","洛洛哑女","5629410610","KOC快手","https://v.kuaishou.com/KeT8u4qI","2026-09-19T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"29","洛洛哑女","dy58k7zyexhk","KOC抖音","https://v.douyin.com/BuWZY8rJeyc/","2026-09-19T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"30","洛洛哑女","905000034","KOC快手","https://www.kuaishou.com/f/X-7nXh2msDo6N1BQ","2026-09-19T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"31","洛洛哑女","26225156063","KOC小红书","https://www.xiaohongshu.com/discovery/item/6aafafa50000000011030091?source=webshare&xhsshare=pc_web&xsec_token=CBQxNt3vPqFxwBaXR0HZFBayP2GMKhpMr8CpjIc12JHyc=&xsec_source=pc_share","2026-09-19T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"32","洛洛哑女","ID___ZMM","KOC快手","https://www.kuaishou.com/f/X577ba5TIs6p1Kd","2026-09-19T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划"
"34","洛洛哑女","3095362496","KOC快手","https://www.kuaishou.com/f/X5zOlygAoEum1d1","2026-09-19T16:00:00.000Z","视频","解压","未找到该关键词对应的可用计划"
"35","洛洛哑女","1237842925","KOC快手","https://v.kuaishou.com/nubSygU1","2026-09-19T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"36","洛洛哑女","64656766929","KOC抖音","https://v.douyin.com/yYHdHae-7hY/","2026-09-19T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"41","洛洛哑女","5770569553","KOC快手","https://v.kuaishou.com/JWEyx5Zp","2026-09-19T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"47","","48747286690","KOC抖音","https://v.douyin.com/DZM3RMbr-Ik/","2026-09-20T16:00:00.000Z","视频","猫 meme","缺少关键词或计划编号"
"48","","3393320757","KOC快手","https://v.kuaishou.com/J6tz5Tjz","2026-09-20T16:00:00.000Z","视频","解压","缺少关键词或计划编号"
"49","","1381498099","KOC快手","https://v.kuaishou.com/JjXkpDGL","2026-09-20T16:00:00.000Z","视频","猫 meme","缺少关键词或计划编号"
"50","","Lfei199600","KOC抖音","https://v.douyin.com/sw2RyDI4RE8/","","视频","表情包解说","缺少关键词或计划编号；发布时间缺失或无效，请填写完整日期"
"51","洛洛种蛊","zyc20171107","KOC抖音","https://v.douyin.com/Jv0IjQXR3z8/","2026-09-20T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"52","洛洛种蛊","5514556602","KOC快手","https://v.kuaishou.com/KSolpUpT","2026-09-20T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"60","洛洛哑女","2381901294","KOC快手","https://www.kuaishou.com/f/X7i1eC5J9pcdT7c","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"61","洛洛哑女","5673870694","KOC快手","https://v.kuaishou.com/J2eczvZJ","2026-09-20T16:00:00.000Z","视频","解压","未找到该关键词对应的可用计划"
"62","洛洛哑女","837092028","KOC小红书","https://xhslink.cn/o/6B4viSr4Cz","2026-09-20T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"63","洛洛种蛊","ID___ZMM","KOC快手","https://www.kuaishou.com/f/X-3YlV1UtTzaJ1R5","2026-09-20T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"64","洛洛种蛊","dyi9znosqipy","KOC抖音","https://v.douyin.com/CSlIj9tDUY0/","2026-09-20T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"65","洛洛哑女","dyi9znosqipy","KOC抖音","https://v.douyin.com/o7UnhiTxiSU/","2026-09-20T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"66","尘笼异遇","ID___ZMM","KOC快手","https://www.kuaishou.com/f/X6vDifvMN7Id1fI","","视频","真人演绎","未找到该关键词对应的可用计划；发布时间缺失或无效，请填写完整日期"
"67","尘笼异遇","5615318076","KOC小红书","https://www.xiaohongshu.com/discovery/item/6ab0e0680000000033025371?source=webshare&xhsshare=pc_web&xsec_token=CBf1kEqPRRg4Y2gWQDAF02camoBCFiWU3RJaobb_K1I7E=&xsec_source=pc_share","","视频","解压","未找到该关键词对应的可用计划；发布时间缺失或无效，请填写完整日期"
"68","尘笼异遇","dyi9znosqipy","KOC抖音","https://v.douyin.com/e-4UC0jD9o0/","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"88","","64656766929","KOC抖音","https://v.douyin.com/pajys5DiJyA/","2026-09-20T16:00:00.000Z","视频","真人演绎","缺少关键词或计划编号"
"89","","3095362496","KOC快手","https://v.kuaishou.com/JZvjQrct","2026-09-20T16:00:00.000Z","视频","解压","缺少关键词或计划编号"
"90","","1237842925","KOC快手","https://v.kuaishou.com/KcDJvcAF","2026-09-20T16:00:00.000Z","视频","解压","缺少关键词或计划编号"
"116","北窗照疏星","1132840053","KOC快手","https://v.kuaishou.com/Jn6KuR2n","2026-09-20T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"117","木樨落闲盏","he9720311","KOC抖音","https://v.douyin.com/PcKU5Gp0e2A/","2026-09-20T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"118","木樨落闲盏","239074049","KOC快手","https://v.kuaishou.com/Kt3KkDvz","2026-09-20T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"119","梧桐戏秋雨","68677471139","KOC快手","https://v.douyin.com/yTxxuPJw_vg/","2026-09-20T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划；平台与链接不一致：链接属于抖音"
"120","月色临旧窗","40897765075","KOC抖音","https://v.douyin.com/AdW8MquljBw/","2026-09-20T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划"
"122","月色临旧窗","5338267277","KOC快手","https://v.kuaishou.com/KFhWdc1N","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"123","月色临旧窗","tao199999919","KOC抖音","https://v.douyin.com/oC59lqsqwMk/","2026-09-20T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"124","台城空晚","a351072001","KOC快手","https://v.kuaishou.com/KwYiTwwb","2026-09-20T16:00:00.000Z","视频","解压","未找到该关键词对应的可用计划"
"125","台城空晚","2381901294","KOC快手","https://v.kuaishou.com/JqokQwQL","2026-09-20T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划"
"126","台城空晚","837092028","KOC小红书","https://xhslink.cn/o/9KmljLy2JKS","2026-09-20T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"128","月色临旧窗","26922235506","KOC小红书","https://xhslink.cn/o/9z9hcLMNgAv","2026-09-20T16:00:00.000Z","视频","解压","未找到该关键词对应的可用计划"
"130","残荷映春水","1773719316","KOC快手","https://v.kuaishou.com/JGQYQaj1","2026-09-20T16:00:00.000Z","视频","表情包解说","未找到该关键词对应的可用计划"
"131","残荷映春水","q2879145843","KOC快手","https://v.kuaishou.com/KwyzUZSL","2026-09-20T16:00:00.000Z","视频","漫剧","未找到该关键词对应的可用计划"
"132","离离老板","dy58k7zyexhk","KOC抖音","https://v.douyin.com/4Zs2jMelYSE/","2026-09-20T16:00:00.000Z","视频","猫 meme","未找到该关键词对应的可用计划"
"133","离离老板","905000034","KOC快手","https://www.kuaishou.com/f/X-3shQX9espgF1Tn","2026-09-20T16:00:00.000Z","视频","滚屏","未找到该关键词对应的可用计划"
"134","离离老板","26225156063","KOC小红书","https://www.xiaohongshu.com/discovery/item/6ab0df36000000003100e999?source=webshare&xhsshare=pc_web&xsec_token=CBi5LP-rz8Co-HChT4GWDhEeN9LQvXObjmabHufs8B3mI=&xsec_source=pc_share","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"135","晚风渡宣口","2014389456","KOC快手","https://v.kuaishou.com/JPYVpH2N","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"136","暮色随片场","3658861600","KOC快手","https://v.kuaishou.com/nn5S2vSx","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"137","月色临旧窗","2006758602","KOC快手","https://v.kuaishou.com/K2Dh5Eo1","2026-09-20T16:00:00.000Z","视频","真人演绎","未找到该关键词对应的可用计划"
"138","","4983375735","KOC小红书","https://xhslink.cn/o/2KMZrtVroM6","2026-09-20T16:00:00.000Z","视频","滚屏","缺少关键词或计划编号"
