"原表行号","核对状态","关键词","媒体账号","媒体类型","推广链接","发布时间（北京时间）","待处理问题"
"2","线上快照中已找到相同链接，跳过","离离路过","1773719316","快手","https://v.kuaishou.com/K5jlHIgV","2026-09-20 00:00:00",""
"3","线上快照中已找到相同链接，跳过","离离路过","3761336376","快手","https://v.kuaishou.com/Jd6N43na","2026-09-20 00:00:00",""
"4","线上快照中已找到相同链接，跳过","离离路过","35809749761","KOC抖音","https://v.douyin.com/3JBfz5GVBVs/","2026-09-20 00:00:00",""
"5","线上快照中已找到相同链接，跳过","离离路过","95094752492","小红书","https://xhslink.cn/o/89qO4RBkjUe","2026-09-20 00:00:00",""
"6","尚未上传，仍需核对线上计划","洛洛哑女","2448878508","快手","https://v.kuaishou.com/JpvDzq2t","2026-09-20 00:00:00",""
"7","尚未上传，仍需核对线上计划","洛洛哑女","69039508939","KOC抖音","https://v.douyin.com/cogSIwGwqy0/","2026-09-20 00:00:00",""
"8","尚未上传，仍需核对线上计划","白白金陵","2879882282","快手","https://v.kuaishou.com/KZkSuJ3y","2026-09-20 00:00:00",""
"9","线上快照中已找到相同链接，跳过","离离路过","雨果mama9020","微信视频号","https://weixin.qq.com/sph/Adhci578f2","2026-09-20 00:00:00",""
"10","线上快照中已找到相同链接，跳过","离离路过","23334002996","KOC抖音","https://v.douyin.com/-aR7Hn3xMsk/","2026-09-20 00:00:00",""
"11","尚未上传，仍需核对线上计划","白白金陵","tao199999919","KOC抖音","https://v.douyin.com/rwNDYO6WcEQ/","2026-09-20 00:00:00",""
"12","尚未上传，仍需核对线上计划","白白金陵","5540790027","快手","https://v.kuaishou.com/KHDglceP","2026-09-20 00:00:00",""
"13","文件内与第12行重复，跳过","白白金陵","5540790027","快手","https://v.kuaishou.com/KHDglceP","2026-09-20 00:00:00",""
"14","尚未上传，仍需核对线上计划","白白金陵","风的颜色72","微信视频号","https://weixin.qq.com/sph/AuRKybOLx2","2026-09-20 00:00:00",""
"15","尚未上传，仍需核对线上计划","白白金陵","2037555563","快手","https://www.kuaishou.com/f/X9iQ8QHCYN9OYi2","2026-09-20 00:00:00",""
"16","尚未上传，仍需核对线上计划","白白金陵","27363868763","KOC抖音","https://v.douyin.com/HUiUs7e_OPo/","2026-09-20 00:00:00",""
"17","线上快照中已找到相同链接，跳过","离离对手","80202567352","KOC抖音","https://v.douyin.com/qigivYjPbRA/","2026-09-20 00:00:00",""
"18","线上快照中已找到相同链接，跳过","离离对手","26163555320","小红书","https://xhslink.cn/o/ABO3OEuCZPU","2026-09-20 00:00:00",""
